code,year,KOFGI,KOFGIdf,KOFGIdj,KOFEcGI,KOFEcGIdf,KOFEcGIdj,KOFTrGI,KOFTrGIdf,KOFTrGIdj,KOFFiGI,KOFFiGIdf,KOFFiGIdj
IRL,1972,64.3965225219727,74.6764144897461,54.1166305541992,59.5539474487305,70.6426544189453,48.4652519226074,57.5411796569824,64.4157943725586,50.6665649414063,61.5667190551758,76.8695068359375,46.2639350891113
IRL,1973,67.5099563598633,76.0418395996094,58.9780693054199,66.8028793334961,73.1812744140625,60.4245071411133,67.0646820068359,68.6816101074219,65.4477462768555,66.5410995483398,77.6809387207031,55.4012603759766
IRL,1974,68.7114791870117,77.4886703491211,59.9342842102051,69.2151336669922,77.7542495727539,60.6760368347168,70.0994644165039,74.2481231689453,65.9508056640625,68.3308181762695,81.2603759765625,55.4012603759766
IRL,1975,68.6572341918945,76.3572311401367,60.9572334289551,68.5333404541016,75.8880386352539,61.1786575317383,69.3587112426758,71.7613754272461,66.9560470581055,67.7079772949219,80.0146942138672,55.4012603759766
IRL,1976,69.8647003173828,78.0046005249024,61.724796295166,69.9610290527344,78.7265090942383,61.1955604553223,70.8285217285156,74.6671905517578,66.9898529052734,69.0935363769531,82.7858200073242,55.4012603759766
IRL,1977,71.2373123168945,79.6940307617188,62.7805900573731,71.5058670043945,80.8105087280273,62.2012367248535,73.1823425292969,77.3634719848633,69.0012054443359,69.8293991088867,84.2575531005859,55.4012603759766
IRL,1978,72.3555221557617,80.7948684692383,63.9161720275879,72.6577682495117,80.3378372192383,64.9777069091797,75.3619842529297,77.1658020019531,73.5581588745117,69.9535598754883,83.509880065918,56.3972549438477
IRL,1979,72.297966003418,80.9215774536133,63.6743354797363,72.5133056640625,80.2168884277344,64.8097305297852,75.7692413330078,78.3162689208984,73.2222061157227,69.2573776245117,82.1175155639648,56.3972549438477
IRL,1980,72.9552001953125,81.2237014770508,64.6866912841797,73.680778503418,80.5349349975586,66.8266143798828,75.2072219848633,78.0420913696289,72.3723449707031,72.1543273925781,83.0277862548828,61.2808837890625
IRL,1981,73.0481338500977,81.2253265380859,64.8709106445313,73.6205825805664,81.1080932617188,66.133056640625,74.5861511230469,78.6549987792969,70.5172958374024,72.6550140380859,83.5612030029297,61.7488136291504
IRL,1982,72.6665725708008,80.3073196411133,65.0258026123047,73.0256881713867,78.9961166381836,67.0552368164063,74.6163940429688,77.3126449584961,71.9201278686523,71.4349594116211,80.6795806884766,62.190357208252
IRL,1983,73.55908203125,80.2832641601563,66.8349304199219,74.6806793212891,80.8209838867188,68.5403823852539,76.8800201416016,79.4721527099609,74.2878875732422,72.4813461303711,82.169807434082,62.7928848266602
IRL,1984,74.2109298706055,80.4023513793945,68.0195236206055,75.6987457275391,82.4584350585938,68.9390869140625,78.4223098754883,82.2653884887695,74.5792465209961,72.9751968383789,82.6514739990235,63.2989273071289
IRL,1985,75.0016174316406,80.8004684448242,69.2027740478516,76.870719909668,83.3300704956055,70.4113693237305,78.8251495361328,82.5466842651367,75.1036071777344,74.9162902832031,84.1134643554688,65.7191162109375
IRL,1986,75.2826156616211,80.4759140014649,70.0893020629883,76.5990524291992,82.1884765625,71.009635925293,78.2407836914063,80.2138748168945,76.267692565918,74.9573287963867,84.1630783081055,65.7515716552734
IRL,1987,74.8758239746094,80.8762512207031,68.8753890991211,77.2184753417969,83.2698059082031,71.1671752929688,78.8441925048828,80.8239898681641,76.864387512207,75.5927810668945,85.7156143188477,65.4699630737305
IRL,1988,74.0409927368164,81.2149200439453,66.8670806884766,77.6217880249024,83.6267013549805,71.6168670654297,79.5699081420899,81.3732833862305,77.7665328979492,75.6736602783203,85.880126953125,65.4672088623047
IRL,1989,73.1590042114258,81.4273910522461,64.8905868530274,78.1188430786133,84.0204544067383,72.2172317504883,80.9549865722656,82.7157669067383,79.1941986083984,75.2827072143555,85.3251419067383,65.2402648925781
IRL,1990,73.7385101318359,81.8469848632813,65.6300430297852,78.2759857177734,83.0880966186524,73.4638595581055,80.8873291015625,81.411849975586,80.3628005981445,75.6646270751953,84.7643356323242,66.5649108886719
IRL,1991,74.9851379394531,81.735710144043,68.2345428466797,79.0187683105469,84.0312881469727,74.006217956543,81.7080841064453,81.9419097900391,81.4742431640625,76.3294296264649,86.1206512451172,66.5381927490234
IRL,1992,76.1582641601563,81.5777740478516,70.7387390136719,80.4055709838867,82.9448928833008,77.8662414550781,82.5825729370117,81.8467788696289,83.3183670043945,78.2285690307617,84.0430221557617,72.4141082763672
IRL,1993,77.1272659301758,81.7524795532227,72.5020217895508,83.9043197631836,86.3330612182617,81.4755859375,84.6191253662109,84.0085983276367,85.2296447753906,83.1895217895508,88.6575164794922,77.7215194702148
IRL,1994,78.1999206542969,82.2669830322266,74.1328582763672,85.4006805419922,87.4239349365234,83.3774261474609,85.9786224365234,85.6147613525391,86.3424835205078,84.8227386474609,89.2331161499024,80.4123687744141
IRL,1995,79.4670333862305,83.3321990966797,75.6018753051758,87.2594528198242,88.9427032470703,85.5762023925781,87.6675338745117,86.7242736816406,88.6107940673828,86.8513793945313,91.1611404418945,82.541618347168
IRL,1996,81.9012298583984,83.9246826171875,79.8777770996094,88.3991851806641,89.529296875,87.2690734863281,89.4511795043945,87.2075347900391,91.69482421875,87.3471984863281,91.8510665893555,82.8433380126953
IRL,1997,82.5131149291992,84.3380432128906,80.6881866455078,88.9402084350586,89.912109375,87.9682922363281,89.8506088256836,87.5739364624024,92.1272659301758,88.0298004150391,92.2502899169922,83.8093185424805
IRL,1998,81.2647094726563,84.9765701293945,77.552864074707,90.4464263916016,91.0350723266602,89.857780456543,91.6113815307617,88.1755981445313,95.0471649169922,89.2814712524414,93.8945465087891,84.6684036254883
IRL,1999,81.6028442382813,84.8968811035156,78.3088150024414,90.3032073974609,90.400764465332,90.2056655883789,90.8974990844727,87.4936904907227,94.3012924194336,89.7089462280274,93.3078460693359,86.1100311279297
IRL,2000,82.9062652587891,86.0807800292969,79.7317504882813,91.6629028320312,92.0101089477539,91.3157119750977,92.9412536621094,89.0441665649414,96.8383407592773,90.3845672607422,94.9760513305664,85.793083190918
IRL,2001,83.2496032714844,86.3252716064453,80.173942565918,91.4180679321289,91.6450042724609,91.1911315917969,91.548469543457,87.3778686523438,95.7190780639649,91.2876663208008,95.9121398925781,86.6631927490234
IRL,2002,83.1777038574219,85.5344619750977,80.820930480957,90.7495422363281,90.8110656738281,90.6880111694336,89.5131225585938,85.1172943115235,93.9089584350586,91.9859390258789,96.5048294067383,87.4670715332031
IRL,2003,83.0667877197266,85.6027755737305,80.5307769775391,90.1436462402344,90.5934600830078,89.6938323974609,89.3427810668945,84.0287780761719,94.6567840576172,90.9445114135742,97.1581420898438,84.7308959960938
IRL,2004,83.3656158447266,85.7866439819336,80.944580078125,90.7072067260742,90.1931686401367,91.2212524414062,88.5133590698242,82.9024353027344,94.124267578125,92.9010772705078,97.4838943481445,88.3182525634766
IRL,2005,83.6254806518555,85.9828109741211,81.2681732177734,90.5736770629883,89.9901809692383,91.1571578979492,87.946174621582,82.5757141113281,93.3166427612305,93.201171875,97.4046783447266,88.997673034668
IRL,2006,83.2394180297852,86.0756454467773,80.4031753540039,89.4282989501953,89.516487121582,89.3401184082031,85.4166107177734,81.4849700927734,89.3482437133789,93.4399948120117,97.5480041503906,89.3319778442383
IRL,2007,83.9045104980469,86.7643203735352,81.044677734375,89.5245971679688,89.0535736083984,89.99560546875,85.1914520263672,80.7220916748047,89.6607971191406,93.8577423095703,97.3850708007813,90.3304061889648
IRL,2008,83.2363128662109,85.8678817749023,80.6047592163086,87.8342819213867,89.1101989746094,86.5583572387695,85.6991424560547,81.6158752441406,89.7824096679688,89.9694061279297,96.6045150756836,83.3343048095703
IRL,2009,84.3694229125977,88.035774230957,80.7030868530273,87.8251953125,88.8072052001953,86.8431930541992,86.0633850097656,81.8076705932617,90.3190994262695,89.587028503418,95.8067626953125,83.367301940918
IRL,2010,84.6763076782227,88.1728134155273,81.1798706054688,88.9709396362305,89.6026916503906,88.3391876220703,87.3675842285156,83.6532821655274,91.0818862915039,90.5742950439453,95.5521011352539,85.5964889526367
IRL,2011,84.4531021118164,87.838005065918,81.0681686401367,89.0500717163086,89.7355117797852,88.3646545410156,86.8800506591797,84.233268737793,89.5268402099609,91.2201156616211,95.2377624511719,87.2024765014649
IRL,2012,84.8214416503906,88.3293991088867,81.3134689331055,88.8414154052734,89.8341217041016,87.8487319946289,86.0635757446289,84.208869934082,87.9183044433594,91.619270324707,95.4593811035156,87.7791595458984
IRL,2013,84.7658386230469,88.2980041503906,81.2336883544922,88.9246520996094,89.8642578125,87.9850158691406,85.9592056274414,84.0013122558594,87.9170989990234,91.8900604248047,95.7272033691406,88.0529327392578
IRL,2014,85.1688385009766,88.3925170898438,81.945182800293,89.9861526489258,90.1214065551758,89.8508834838867,87.6243667602539,84.1923370361328,91.0563888549805,92.3479156494141,96.0504531860352,88.6454010009766
IRL,2015,85.3039627075195,88.7847595214844,81.8231658935547,89.1706771850586,88.6950988769531,89.6462554931641,86.2383499145508,81.1993713378906,91.2773361206055,92.1029968261719,96.1908187866211,88.0151901245117
IRL,2016,84.6357879638672,88.4107818603516,80.8607864379883,87.8608703613281,88.7570266723633,86.9647064208984,85.3051147460938,80.9623413085938,89.6478805541992,90.4166259765625,96.5517196655274,84.2815399169922
ITA,1970,63.0028686523438,57.194507598877,68.8112487792969,44.9617080688477,24.1070384979248,65.8163681030274,46.5059928894043,19.9307117462158,73.0812606811524,43.417423248291,28.2833652496338,58.5514831542969
ITA,1971,63.3183135986328,57.5829620361328,69.0536804199219,45.2916679382324,24.6829681396484,65.9003601074219,46.3923034667969,19.5353622436523,73.2492370605469,44.1910285949707,29.8305759429932,58.5514831542969
ITA,1972,63.6793823242188,57.9767417907715,69.3820343017578,45.284065246582,25.0817718505859,65.4863586425781,46.662109375,19.9069900512695,73.4172210693359,43.9060211181641,30.2565517425537,57.5554924011231
ITA,1973,64.5879821777344,58.4106178283691,70.7653579711914,46.198787689209,25.7292194366455,66.6683578491211,47.2709693908691,20.4528045654297,74.0891265869141,45.1266136169434,31.00563621521,59.2475891113281
ITA,1974,64.0784683227539,58.8530311584473,69.3039093017578,44.5057258605957,27.5679798126221,61.4434700012207,50.6017913818359,26.2762966156006,74.9272689819336,38.40966796875,28.8596668243408,47.9596710205078
ITA,1975,63.3164901733399,57.8460197448731,68.7869644165039,41.6723098754883,24.2282104492188,59.1164054870606,49.5985679626465,24.9400177001953,74.2571105957031,33.7460517883301,23.5164070129395,43.9756965637207
ITA,1976,63.5420608520508,57.7485656738281,69.335563659668,41.4101715087891,23.9052066802979,58.9151382446289,49.9606742858887,26.0667629241943,73.8545761108399,32.8596725463867,21.7436504364014,43.9756965637207
ITA,1977,63.8821411132813,58.3597755432129,69.4045028686524,42.6808319091797,25.2910060882568,60.0706596374512,51.9421234130859,27.7186222076416,76.1656188964844,33.4195404052734,22.8633880615234,43.9756965637207
ITA,1978,64.1935043334961,58.7093620300293,69.6776428222656,43.1906547546387,25.8417491912842,60.5395545959473,52.021598815918,26.9397850036621,77.1034088134766,34.3597068786621,24.7437152862549,43.9756965637207
ITA,1979,64.5270233154297,59.2993774414063,69.7546615600586,43.8104019165039,27.0483150482178,60.5724830627441,52.6297607421875,28.0902500152588,77.1692657470703,34.9910354614258,26.0063781738281,43.9756965637207
ITA,1980,65.0258865356445,59.6231842041016,70.428581237793,44.7734985351563,27.5457801818848,62.001220703125,53.0076408386231,28.0266704559326,77.9886245727539,36.5393486022949,27.0648860931397,46.0138130187988
ITA,1981,65.8543167114258,60.8995132446289,70.8090972900391,47.1389045715332,31.5734310150147,62.7043647766113,54.7806549072266,31.0821418762207,78.4791564941406,39.4971504211426,32.0647201538086,46.9295806884766
ITA,1982,67.0903167724609,60.6340141296387,73.5465927124024,50.6762619018555,30.7895050048828,70.5630111694336,54.2054176330566,29.7587718963623,78.6520690917969,47.1470947265625,31.8202304840088,62.4739608764649
ITA,1983,66.8742141723633,60.0262641906738,73.7221832275391,49.7937431335449,28.7426357269287,70.844841003418,53.3538818359375,27.7969074249268,78.9108505249024,46.2336044311523,29.6883678436279,62.7788429260254
ITA,1984,67.4934921264649,60.506275177002,74.4806900024414,50.9277229309082,30.683650970459,71.1718063354492,53.923957824707,28.4709072113037,79.3770217895508,47.9314956665039,32.8964042663574,62.9665908813477
ITA,1985,68.3738250732422,62.1781272888184,74.5695266723633,52.4050636291504,32.8032073974609,72.0069351196289,54.5267295837402,29.0187168121338,80.0347366333008,50.2834129333496,36.5876998901367,63.979118347168
ITA,1986,67.5691223144531,60.6957626342773,74.4424743652344,49.897762298584,27.7528667449951,72.0426559448242,51.2363433837891,22.3712310791016,80.101448059082,48.5591850280762,33.1344985961914,63.9838638305664
ITA,1987,67.2457504272461,60.5911903381348,73.9003067016602,49.6094398498535,26.7325134277344,72.4863815307617,50.7894248962402,21.3884410858154,80.1904144287109,48.4294700622559,32.0765953063965,64.7823486328125
ITA,1988,66.9260482788086,60.7314376831055,73.1206665039063,49.5319213867188,26.533784866333,72.5300598144531,50.3246383666992,20.387378692627,80.2619018554688,48.7392044067383,32.6801910400391,64.7982177734375
ITA,1989,68.062858581543,63.9788322448731,72.1468734741211,52.026782989502,30.8398380279541,73.2137298583984,51.3147125244141,21.7865695953369,80.8428497314453,52.7388610839844,39.8931045532227,65.5846099853516
ITA,1990,69.4375610351563,64.5278549194336,74.347282409668,54.5928802490234,32.556324005127,76.6294326782227,51.7966613769531,22.6852874755859,80.9080276489258,57.3890914916992,42.427360534668,72.350830078125
ITA,1991,70.6208724975586,63.8471946716309,77.3945465087891,54.4572601318359,31.9876232147217,76.926872253418,50.6526718139649,20.0888328552246,81.2164993286133,58.2618293762207,43.8864097595215,72.6372451782227
ITA,1992,70.7943420410156,63.2166404724121,78.3720550537109,55.577262878418,32.9797172546387,78.1748123168945,52.202564239502,22.1452732086182,82.2598495483399,58.9519653320313,43.8141632080078,74.0897674560547
